"name","categories","image_path","LOC","date_orig","date","year","location","order"
"2019-08-02-png","image","2019_08_02_HAL.png","HAL","2019_08_02","2019/08/02","2019","Haleiwa, HI",49
"2019-09-03-jpg","image","2019_09_03_OAH.jpg","OAH","2019_09_03","2019/09/03","2019","Oahu, HI",48
"2019-09-11-JPG","image","2019_09_11_CAL.JPG","CAL","2019_09_11","2019/09/11","2019","California, USA",47
"2019-09-15-png","image","2019_09_15_CAT.png","CAT","2019_09_15","2019/09/15","2019","Catalina Island, USA",46
"2019-09-16-png","image","2019_09_16_CAT.png","CAT","2019_09_16","2019/09/16","2019","Catalina Island, USA",45
"2019-09-17-png","image","2019_09_17_CAT.png","CAT","2019_09_17","2019/09/17","2019","Catalina Island, USA",44
"2020-03-02-JPG","image","2020_03_02_OAH.JPG","OAH","2020_03_02","2020/03/02","2020","Oahu, HI",43
"2020-05-08-JPG","image","2020_05_08_OAH.JPG","OAH","2020_05_08","2020/05/08","2020","Oahu, HI",42
"2020-06-01-JPG","image","2020_06_01_KON.JPG","KON","2020_06_01","2020/06/01","2020","Kona, HI",41
"2020-06-02-JPG","image","2020_06_02_KON.JPG","KON","2020_06_02","2020/06/02","2020","Kona, HI",40
"2020-08-04-jpg","image","2020_08_04_KON.jpg","KON","2020_08_04","2020/08/04","2020","Kona, HI",39
"2020-09-13-JPG","image","2020_09_13_OAH.JPG","OAH","2020_09_13","2020/09/13","2020","Oahu, HI",38
"2021-03-31-png","image","2021_03_31_MAU.png","MAU","2021_03_31","2021/03/31","2021","Maui, HI",37
"2021-04-07-JPG","image","2021_04_07_KON.JPG","KON","2021_04_07","2021/04/07","2021","Kona, HI",36
"2021-04-26-JPG","image","2021_04_26_KON.JPG","KON","2021_04_26","2021/04/26","2021","Kona, HI",35
"2021-05-08-JPG","image","2021_05_08_KON.JPG","KON","2021_05_08","2021/05/08","2021","Kona, HI",34
"2021-05-20-JPG","image","2021_05_20_KON.JPG","KON","2021_05_20","2021/05/20","2021","Kona, HI",33
"2021-06-06-JPG","image","2021_06_06_KON.JPG","KON","2021_06_06","2021/06/06","2021","Kona, HI",32
"2021-07-02-JPG","image","2021_07_02_KON.JPG","KON","2021_07_02","2021/07/02","2021","Kona, HI",31
"2021-07-03-JPG","image","2021_07_03_KON.JPG","KON","2021_07_03","2021/07/03","2021","Kona, HI",30
"2021-07-04-JPG","image","2021_07_04_KON.JPG","KON","2021_07_04","2021/07/04","2021","Kona, HI",29
"2021-07-06-JPG","image","2021_07_06_KON.JPG","KON","2021_07_06","2021/07/06","2021","Kona, HI",28
"2021-07-10-png","image","2021_07_10_KAU.png","KAU","2021_07_10","2021/07/10","2021","Kauai, HI",27
"2021-07-18-JPG","image","2021_07_18_KON.JPG","KON","2021_07_18","2021/07/18","2021","Kona, HI",26
"2021-07-19-JPG","image","2021_07_19_KON.JPG","KON","2021_07_19","2021/07/19","2021","Kona, HI",25
"2021-08-19-JPG","image","2021_08_19_OAH.JPG","OAH","2021_08_19","2021/08/19","2021","Oahu, HI",24
"2021-09-18-JPG","image","2021_09_18_OAH.JPG","OAH","2021_09_18","2021/09/18","2021","Oahu, HI",23
"2021-09-19-JPG","image","2021_09_19_OAH.JPG","OAH","2021_09_19","2021/09/19","2021","Oahu, HI",22
"2021-10-01-JPG","image","2021_10_01_OAH.JPG","OAH","2021_10_01","2021/10/01","2021","Oahu, HI",21
"2021-11-17-JPG","image","2021_11_17_OAH.JPG","OAH","2021_11_17","2021/11/17","2021","Oahu, HI",20
"2021-12-01-JPG","image","2021_12_01_SYD.JPG","SYD","2021_12_01","2021/12/01","2021","Sydney, Australia",19
"2021-12-03-JPG","image","2021_12_03_SYD.JPG","SYD","2021_12_03","2021/12/03","2021","Sydney, Australia",18
"2021-12-16-JPG","image","2021_12_16_SYD.JPG","SYD","2021_12_16","2021/12/16","2021","Sydney, Australia",17
"2021-12-21-JPG","image","2021_12_21_SYD.JPG","SYD","2021_12_21","2021/12/21","2021","Sydney, Australia",16
"2021-12-23-JPG","image","2021_12_23_SYD.JPG","SYD","2021_12_23","2021/12/23","2021","Sydney, Australia",15
"2022-01-01-JPG","image","2022_01_01_SYD.JPG","SYD","2022_01_01","2022/01/01","2022","Sydney, Australia",14
"2022-01-03-JPG","image","2022_01_03_SYD.JPG","SYD","2022_01_03","2022/01/03","2022","Sydney, Australia",13
"2022-02-02-JPG","image","2022_02_02_OAH.JPG","OAH","2022_02_02","2022/02/02","2022","Oahu, HI",12
"2022-02-04-JPG","image","2022_02_04_OAH.JPG","OAH","2022_02_04","2022/02/04","2022","Oahu, HI",11
"2022-02-19-JPG","image","2022_02_19_OAH.JPG","OAH","2022_02_19","2022/02/19","2022","Oahu, HI",10
"2022-03-04-JPG","image","2022_03_04_MAU.JPG","MAU","2022_03_04","2022/03/04","2022","Maui, HI",9
"2022-03-05-JPG","image","2022_03_05_MAU.JPG","MAU","2022_03_05","2022/03/05","2022","Maui, HI",8
"2022-03-06-JPG","image","2022_03_06_MAU.JPG","MAU","2022_03_06","2022/03/06","2022","Maui, HI",7
"2022-03-06b-JP","image","2022_03_06b_MAU.JPG","MAU","2022_03_06","2022/03/06","2022","Maui, HI",6
"2022-03-31-JPG","image","2022_03_31_OAH.JPG","OAH","2022_03_31","2022/03/31","2022","Oahu, HI",5
"2022-07-03-JPG","image","2022_07_03_FRA.JPG","FRA","2022_07_03","2022/07/03","2022","Marseillan, France",4
"2022-07-04-JPG","image","2022_07_04_FRA.JPG","FRA","2022_07_04","2022/07/04","2022","Marseillan, France",3
"2022-07-24-JPG","image","2022_07_24_OAH.JPG","OAH","2022_07_24","2022/07/24","2022","Oahu, HI",2
"2022-08-06-JPG","image","2022_08_06_OAH.JPG","OAH","2022_08_06","2022/08/06","2022","Oahu, HI",1
